card_id,name,pitch,classes,talents,kind,type_text,cost,power,defense,cc_legal,rarities,easiest_rarity,sets,printing_code,image_url
FM9T9Dg8bj9h9MW7k9HCQ,"10,000 Year Reunion",1,Illusionist,,Deck,Illusionist Action - Aura,8,,3,true,M,M,MST,MST131,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MST131.webp
NWf8zDGMgnph8dnzkmng6,A Bit off the Side,1,Guardian|Warrior,,Deck,Guardian / Warrior Action,0,,3,true,M,M,OMN,OMN243,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/OMN243.webp
CqNB8MLzfCh6tRP6RRMdj,A Drop in the Ocean,3,,Mystic,Deck,Mystic Instant,0,,,true,C|P|V,C,ENG|LGS|MST|SEN,ENG025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ENG025.webp
MJBz8WMNzRWccphkkbMzc,A Good Clean Fight,1,,Revered,Deck,Revered Action - Attack,3,7,3,true,S|P,S,GEM|SUP,GEM088,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM088.webp
dFKBHFkn8fDNGmdWktNnJ,A Moment's Peace,3,Warrior,,Deck,Warrior Block,,,2,true,R,R,MPW,MPW075,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW075.webp
dTKDHwdcrLNPPb6ktczmR,Absorb in Aether,1,Wizard,,Deck,Wizard Defense Reaction,1,,4,true,R,R,ARC|SBZ|SIY,ARC123,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ARC123.webp
tWKN9zRJdgFmpw6pmPmkR,Absorb in Aether,2,Wizard,,Deck,Wizard Defense Reaction,1,,3,true,R,R,ARC,ARC124,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ARC124.webp
WkDkrkTDzRnqWBh7WHJfh,Absorb in Aether,3,Wizard,,Deck,Wizard Defense Reaction,1,,2,true,R,R,ARC,ARC125,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/ARC125.webp
6j7RrdTPfczH7PhHm8Brq,Absorption Dome,2,Mechanologist,,Deck,Mechanologist Action - Item,0,,,true,M,M,CRU,CRU104,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/CRU104.webp
C7jcJhrdpQTMfd7F79jK9,Achilles Accelerator,,Mechanologist,,Equipment,Mechanologist Equipment - Legs,,,0,true,C|P,C,1HP|ARC|FAB|SDA,1HP186,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP186.webp
